CSL|Canoe Slalom|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSL.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSL-dark.avif|2025-01-11 12:22:16.918460
CSP|Canoe Sprint|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSP.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CSP-dark.avif|2025-01-11 12:22:16.918460
BMF|Cycling BMX Freestyle|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BMF.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BMF-dark.avif|2025-01-11 12:22:16.918460
BMX|Cycling BMX Racing|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BMX.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BMX-dark.avif|2025-01-11 12:22:16.918460
MTB|Cycling Mountain Bike|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/MTB.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/MTB-dark.avif|2025-01-11 12:22:16.918460
CRD|Cycling Road|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CRD.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CRD-dark.avif|2025-01-11 12:22:16.918460
CTR|Cycling Track|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CTR.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/CTR-dark.avif|2025-01-11 12:22:16.918460
DIV|Diving|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/DIV.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/DIV-dark.avif|2025-01-11 12:22:16.918460
EQU|Equestrian|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/EQU.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/EQU-dark.avif|2025-01-11 12:22:16.918460
FEN|Fencing|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/FEN.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/FEN-dark.avif|2025-01-11 12:22:16.918460
FBL|Football|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/FBL.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/FBL-dark.avif|2025-01-11 12:22:16.918460
GLF|Golf|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GLF.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GLF-dark.avif|2025-01-11 12:22:16.918460
HBL|Handball|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/HBL.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/HBL-dark.avif|2025-01-11 12:22:16.918460
HOC|Hockey|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/HOC.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/HOC-dark.avif|2025-01-11 12:22:16.918460
JUD|Judo|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/JUD.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/JUD-dark.avif|2025-01-11 12:22:16.918460
